11778G>A_female_None_[],11778G>A_male_None_[],11778G>A_male_J_['smoking_heavy'],14484T>C_male_J_[],14484T>C_male_non_J_[],3460G>A_male_None_[]
0.024912318081052143,0.1568816330589946,0.5660295287594217,0.368861152732703,0.0006489569801140605,0.9425333275137284
0.024398981071173605,0.2071390046148191,0.5452394389542767,0.052428970453036364,8.295216498134365e-05,0.8824341656966278
0.04964123974278775,0.32257046449062193,1.0,1.0,0.0025489410558545327,0.5622311018246575
0.0230586045728331,0.16852938814058055,0.6538521811348236,1.0,0.005998725462542974,0.8394215101532759
0.03905677363016134,0.3308707858230021,1.0,0.7181696797897602,0.001103852086537544,0.8544326645776765
0.01435388429808164,0.10833206668980949,0.34112521323139755,1.0,0.006311278570454489,0.8649159134200777
0.01278955334809726,0.11412050668533381,0.3121596205169459,1.0,0.005726860722274706,0.8227999956135003
0.031026980610976588,0.15939729782387987,0.8765407321391053,0.2637075707622897,0.00019211007413025692,0.9465409804579836
0.019287051738725323,0.1857153325636849,0.9276489534675317,0.8938988016690537,0.0013620934587554804,1.0
0.02160449515480181,0.1446152647007454,0.6189929073792817,0.6570047943461821,0.0007060981268585171,1.0
0.014110104809629516,0.0740339833757715,0.12525614769249913,0.62528121018743,0.0006502859124791,0.5684441270397171
0.06632094371702082,0.6974584144227823,1.0,1.0,0.0018550924365451763,1.0
0.01806760766425244,0.1481973609132935,0.37243744574623294,0.7795461809308645,0.0012638530967438442,1.0
0.04041883142916107,0.2508665515719942,1.0,0.15942855230625003,0.0002289194855010531,0.5430382782491969
0.02745919856067235,0.20329725479339933,1.0,1.0,0.001405577236120363,1.0
0.05031288962304431,0.32541800776750424,0.7610795857720134,0.4486847024488783,0.0015259784329513869,1.0
0.045682542660864404,0.45174354881189366,1.0,1.0,0.003470279200797197,1.0
0.016550732984857826,0.11250340745444765,0.7527517737472647,0.6451876149889535,0.0011259731230554167,0.9345957787405421
0.027620653795724384,0.1929091266733219,0.6640962360224553,1.0,0.005586953134695995,0.5098615324512142
0.03608810757321748,0.24314605580889687,0.7580552903829313,0.44941688313407946,0.0006509056222071397,0.9893704037645085
0.021058562018464975,0.19530015540651294,0.8358438403228718,1.0,0.002007885473480876,1.0
0.031080752846956782,0.20705273524672596,0.5885512777468096,0.6874144105671653,0.001961394482706787,0.7053531070433181
0.02691142829585408,0.22875328345087165,1.0,1.0,0.0011757048595575487,0.8519103263072638
0.10025560825006964,0.7945619220552933,1.0,0.424782512285097,0.0008566145676666817,1.0
0.05678887137680526,0.34855008358671397,1.0,1.0,0.0015197036836746768,0.8488789938543344
0.06356962806556747,0.2960903946273662,0.8829868505718398,0.07592347533262275,0.0001777242488765349,0.7087797534488373
0.08757949338448655,0.4460046013045669,1.0,1.0,0.00538531274834354,0.6709235647719141
0.049096007841131634,0.36716008581890663,1.0,1.0,0.002625977478606395,1.0
0.06245118333441831,0.5296248546469317,1.0,1.0,0.0011890586286404119,1.0
0.061857294980169605,0.390454558212056,1.0,1.0,0.0013445929136946227,0.8082494998230443
0.02478541843301108,0.14353906396797902,0.8799777399870408,1.0,0.0021281586626560717,1.0
0.06786481852132564,0.804287886302889,1.0,0.8662816986574113,0.00113756930073742,1.0
0.05091924898139461,0.26576097406580934,1.0,1.0,0.002642268573716153,0.5712187025620836
0.07737615430572391,0.702695012937221,1.0,1.0,0.0022239970701720484,1.0
